session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2430762,.114583333333333,.0104166666666667,good,1,19,2,2,6,-.892247109648969,.340291527202898,-.353461297071934,.149250524498962,-.682772532380069,-.292972735089287,-.301805626506002,-.260838262263715,.119575033922621,.443068854847097,White,0,1,1,-1,0,0,.666666666666667,-.333333333333333,.333333333333333,-.666666666666667,-.353461297071934,.340291527202898,-.892247109648969, , 
2430795,.104166666666667,.00520833333333333,good,1,18,2,1,6,.237012072761828,-.0777562826834143,.983550618633237,-.139745843284193,-.342071959893087,-.113745500488635,.38093546957055,.034585541826324,-.23960995864637,-.175911052750505,White,1,1,1,-2,-1,1,1,-.333333333333333,.666666666666667,-1.33333333333333,.983550618633237,-.0777562826834143,.237012072761828, , 
2430806,.0833333333333333,.00520833333333333,good,1,18,2,1,6,-.495300870874369,-.531545278872557,.690204225131114,.0333730213874022,.498319294722856,.499026315207807,-.112213974871937,.332399524230987,.342331062328209,-.562516611687259,White,1,1,1,-1,0,0,1,-.333333333333333,0,-.666666666666667,.690204225131114,-.531545278872557,-.495300870874369, , 
2430807,.0833333333333333,.0104166666666667,good,1,18,2,1,6,-.452454629480086,-.327309904483698,-.548828312547154,-.0205026704502071,.199690566979911,-.283158876332279,-.442864282170313,.0215512328672088,.21054750866993,.210765540633174,White,0,0,0,0,0,0,0,0,0,0,-.548828312547154,-.327309904483698,-.452454629480086, , 
2430810,.125,0,bad,-1,18,2,1,6,-.111277972314951,.25636244883284,.0554448641834974,.444414338252275,1.04237377738453,.192831299845753,.0668431135671287,-.169315162413121,.53268869598392,-.430216647137928,White,0,0,1,1,0,0,.333333333333333,-.333333333333333,-.333333333333333,.333333333333333,-.0554448641834974,-.25636244883284,.111277972314951, , 
2430854,.130208333333333,0,bad,-1,18,2,1,6,1.12296136676212,1.2143962698188,-.553604818606246,-.220748806426597,.537292998582336,-.70193783433069,.594584272658227,-.565195099240966,-.268805724868794,.239416551451533,White,0,0,0,0,0,0,0,0,0,0,.553604818606246,-1.2143962698188,-1.12296136676212, , 
2430859,.119791666666667,0,bad,-1,18,2,1,6,.440580269104331,.220931163602138,.391846930762143,.214310176167466,.337552338366613,.377120165967117,.351119454489537,-.019373724600829,.0370940818099159,-.368839811698624,White,1,1,0,1,0,1,.666666666666667,.333333333333333,-.666666666666667,-.333333333333333,-.391846930762143,-.220931163602138,-.440580269104331, , 
2430861,.0729166666666667,0,bad,-1,18,2,1,6,.169334268205855,-.463452551334116,.175072527385492,.0114634681201601,-.370112101370099,-.0675468538773948,-.0396819185809233,.128147409778854,-.175994300485265,.087528809287334,White,0,0,0,0,0,0,0,0,0,0,-.175072527385492,.463452551334116,-.169334268205855, , 
2430925,.119791666666667,0,good,1,18,2,1,6,.70424717812898,.746274415357463,1.17346505280565,-.440489257276212,.215629984367647,-.00288426532000109,.874662215430698,-.102889807800417,-.309702150345848,-.462070257284432,White,2,2,2,0,-1,-1,2,-1.33333333333333,-.333333333333333,-.333333333333333,1.17346505280565,.746274415357463,.70424717812898, , 
2430930,.15625,0,bad,-1,18,2,1,6,.935932199440949,1.14932732527275,-.287182913401421,-.80065110602108,.88432594417314,-.316050931247814,.599358870437426,-.221575716833161,-.284085787096296,-.0936973665079683,White,0,0,0,0,0,0,0,0,0,0,.287182913401421,-1.14932732527275,-.935932199440949, , 
